term,estimate,std.error,statistic,p.value
airline_nameSunexpress,3.0974930577405058,4.226363842884345,0.7328978698688128,0.46367779185541624
airline_nameChina Southern,-3.0834742982038503,5.276753389344072,-0.5843506547853172,0.5590282104658504
reporting_airportSouthampton,2.9630857068005363,2.179982316255442,1.359224652744079,0.1741772363091502
airline_nameBeijing Capital Airlines,2.947550323051413,8.796847416195185,0.33506893817720534,0.7375964320846982
airline_nameJapan Airlines,2.821338756561328,8.794435388658822,0.3208095382905065,0.7483770014771083
airline_nameTam Linhas Aereas,2.8067037004543773,8.79433341116232,0.3191491121876199,0.7496355891837243
airline_nameKm Malta Airlines,-2.767857843146363,6.802922810115356,-0.406863038197464,0.6841375125533657
airline_nameAeromexico,2.681928925877837,8.795390056312918,0.30492438751512496,0.7604448229921831
airline_nameAir Transat,2.6712033467049605,5.558367427122389,0.48057336650158516,0.6308546736928018
airline_nameEthiopian Airlines,2.6442791045964493,5.995248966455822,0.44106243450297494,0.6591994754482748
reporting_airportTeesside International Airport,-2.5730714421037817,3.1887808893121217,-0.80691384307023994,0.41977987559651675
airline_nameAustrian Airlines,-2.5711970826525405,5.9952246421021,-0.4288741850632313,0.6680454785442496
airline_nameBulgaria Air,2.534710720688399,8.794991595155947,0.2881993340487616,0.773214001342747
airline_nameEasyjet Europe,2.5069021683219463,4.05873876153057,0.6176554628454534,0.5368492004062876
reporting_airportStansted,2.472168525461087,1.6154993120507084,1.5302813854639938,0.12605217551794454
airline_nameEasyjet Switzerland,2.4652888452352117,4.5041204326759585,0.547340792077922,0.584185202623973
reporting_airportEdinburgh,2.435146304548007,1.6024719791681306,1.519618649314624,0.12871187578156104
airline_nameVolotea,-2.4280586271715436,6.815475283105317,-0.3562566844296813,0.7216733131420714
international_route,2.4117750386483507,0.7126693162777364,3.3841432254232915,7.231455411695585e-4
airline_nameBrussels Airlines,2.408814218792246,5.555570879717479,0.43358536340278736,0.6646206366215842
airline_nameLuxair,2.3523788068481095,6.8939840524610885,0.3412219681605344,0.7329603030746712
airline_nameThai Airways International,2.3506017841519804,8.794416931837427,0.2672834142809814,0.7892692672631818
airline_nameAir Baltic,2.3377955422423513,6.811629656010197,0.3432064954059287,0.7314670865063053
reporting_airportJersey,2.3226773833728616,2.13986996453917,1.0854292185334076,0.27781851987440903
reporting_airportGatwick,2.3198797780761717,1.6233090239431658,1.4291054530338112,0.15307769448336017
airline_nameEurowings Luftverkehrs,2.2488119638131674,4.421258479271609,0.508636166457215,0.6110445509243488
airline_nameVueling Airlines,2.078704822979508,4.293035394429349,0.4842039797008987,0.6282763404575469
airline_nameFly Play Hf,2.0719296184684937,6.822604685549506,0.30368601347472274,0.7613881043246641
airline_nameTurkmenistan Airlines,1.7365537007995953,8.786597533965821,0.19763664991900495,0.8433427029490876
reporting_airportLuton,1.6511811386730357,1.6586965827516553,0.9954690664002261,0.31958819918282
reporting_airportGlasgow,-1.6356528717716086,1.671774431781576,-0.9783932812206768,0.3279584772816797
reporting_airportEast Midlands International,-1.6106549459743802,1.7853826991538955,-0.9021342856843411,0.36705771957205924
reporting_airportBristol,1.5128148776855266,1.630319246139355,0.9279255466485584,0.3535205921948804
airline_nameTianjin Airlines,-1.4403859950216713,6.035040206479435,-0.23867048863654983,0.8113773495490609
airline_nameSky Express,1.4262898307799294,8.785330094672108,0.16234903132950093,0.8710419026964029
airline_nameIcelandair,-1.425030081071656,5.2666889989795385,-0.2705741845299327,0.7867371042103661
reporting_airportLeeds Bradford,-1.3866586706904986,1.7348771396148368,-0.7992834991176109,0.42418911117136915
airline_nameRoyal Jordanian,1.3238468475982688,5.998792276583783,0.22068556245327742,0.8253522411822153
airline_nameIsles Of Scilly Skybus,1.3089695051676529,6.104831278368657,0.2144153450736214,0.8302377003571628
airline_nameJetblue Airways Corporation,1.1887224551960802,5.266761118850978,0.2257027475465638,0.8214479441574865
reporting_airportNewcastle,1.1068262910657463,1.6886221152265648,0.6554612077416988,0.5122209461990818
reporting_airportBournemouth,1.0607456141835272,1.9584498000772332,0.5416251231671579,0.5881168683248659
airline_nameEva Air,-1.0339390554431231,8.79456073833086,-0.11756574162217416,0.9064195948496894
reporting_airportHeathrow,-1.016199442457595,1.7172619277805719,-0.5917556466013045,0.5540586684966264
log_flights,-1.0002531994238746,0.14017922071854502,-7.1355311742829945,1.2028780693049343e-12
airline_nameFinnair,-0.9761103438158971,6.0083818367650474,-0.16245810774593536,0.8709560199877852
airline_nameJuneyao Airlines,0.9383838254921839,8.783794725057588,0.10683125629236875,0.9149299698382247
airline_nameNorwegian Air Sweden Ab,-0.9178846867059394,4.455932825427619,-0.20599158978969873,0.8368114116792216
airline_nameVirgin Atlantic International,0.8825711923853152,4.541984007248577,0.19431402465900696,0.845943117659202
airline_nameHisky Europe,-0.8696025468385644,8.794031385399213,-0.09888554051357733,0.9212357342543158
airline_nameQatar Airways,-0.7778244437960965,5.269620300500827,-0.14760540597624686,0.8826640746322361
airline_nameScandinavian Airlines Ireland Ltd,-0.7685284121772491,6.024378355119419,-0.12756974527075746,0.8984979968162948
airline_nameSingapore Airlines,0.7300571858486775,5.551396104049176,0.13150875422421676,0.8953816508856259
airline_nameOman Air,0.6639751133274812,8.794280196750309,0.0755007912498439,0.9398212853978134
